ip;city;region;country;loc;org;timezone;hostname;postal;error
77.240.91.55;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS42943 Dar Al-Mustawred Trading Group Limited;Asia/Riyadh;;;
37.99.167.225;Makkah;Mecca Region;SA;21.4266,39.8256;AS47794 Etihad Atheeb Telecom Company;Asia/Riyadh;37-99-167-225.static.go.com.sa;;
37.245.10.56;Dubai;Dubai;AE;25.0772,55.3093;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;;28506 74783;
103.42.163.208;Mumbai;Maharashtra;IN;19.0728,72.8826;AS58678 Intech Online Private Limited;Asia/Kolkata;208-163-42-103.intechonline.net;400017;
37.224.126.89;Ta’if;Mecca Region;SA;21.2703,40.4158;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
125.18.84.146;Chennai;Tamil Nadu;IN;13.0878,80.2785;AS9498 BHARTI Airtel Ltd.;Asia/Kolkata;;600001;
83.110.95.254;Abu Dhabi;Abu Dhabi;AE;24.4512,54.3970;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-83-110-95-254.alshamil.net.ae;;
176.205.53.19;Abu Dhabi;Abu Dhabi;AE;24.4512,54.3970;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-176-205-53-19.alshamil.net.ae;;
202.133.72.3;Faridabad;Haryana;IN;28.4112,77.3132;AS134940 Faridabad Netcom Pvt. Ltd.;Asia/Kolkata;;121003;
5.192.172.1;Jebel Ali;Dubai;AE;25.0025,55.1081;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;;08211 66315;
188.49.114.179;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
93.112.46.210;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
2.50.46.80;Dubai;Dubai;AE;25.0772,55.3093;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-2-50-46-80.alshamil.net.ae;28506 74783;
121.241.108.49;Gurugram;Haryana;IN;28.4601,77.0263;AS4755 TATA Communications formerly VSNL is Leading ISP;Asia/Kolkata;121.241.108.49.static-delhi.vsnl.net.in;122004;
77.87.23.154;Rābigh;Mecca Region;SA;22.7986,39.0349;AS42838 Subhi Muhideen Al Qabani trading as Wideband Est;Asia/Riyadh;cl-net23-static-host154.wbc.net.sa;;
59.97.21.197;Bengaluru;Karnataka;IN;12.9719,77.5937;AS9829 National Internet Backbone;Asia/Kolkata;static.ftth.bgl.59.97.21.197.bsnl.in;562114;
212.11.187.154;Jeddah;Mecca Region;SA;21.4901,39.1862;AS42428 Gulf Computer Services Co Ldt;Asia/Riyadh;a187-154.sps.net.sa;;
14.97.22.90;Ahmedabad;Gujarat;IN;23.0258,72.5873;AS45820 Tata Teleservices ISP AS;Asia/Kolkata;;380001;
2.50.161.153;Abu Dhabi;Abu Dhabi;AE;24.4512,54.3970;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-2-50-161-153.alshamil.net.ae;;
86.98.152.42;Ras Al Khaimah City;Raʼs al Khaymah;AE;25.7895,55.9432;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-86-98-152-42.alshamil.net.ae;33206 01003;
49.249.26.99;Bengaluru;Karnataka;IN;12.9719,77.5937;AS45820 Tata Teleservices ISP AS;Asia/Kolkata;static-99.26.249.49-tataidc.co.in;562114;
188.48.81.195;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
183.177.126.84;Nagpur;Maharashtra;IN;21.1463,79.0849;AS55341 ORANGEINFOCOM-IN-IN;Asia/Kolkata;;440003;
91.75.135.206;Dubai;Dubai;AE;25.0772,55.3093;AS15802 Emirates Integrated Telecommunications Company PJSC;Asia/Dubai;;28506 74783;
83.101.128.98;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS29690 AI Jeraisy Electronic Services Company Ltd.;Asia/Riyadh;;;
43.246.140.230;Mohali;Punjab;IN;30.6800,76.7221;AS134294 R P World Telecom Pvt Ltd;Asia/Kolkata;;140308;
86.98.48.46;Bur Dubai;Dubai;AE;25.2604,55.2989;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-86-98-48-46.alshamil.net.ae;27690 94941;
27.54.165.28;Halvad;Gujarat;IN;23.0152,71.1803;AS45117 Ishan's Network;Asia/Kolkata;;363330;
103.226.7.98;Kalyān;Maharashtra;IN;19.2437,73.1355;AS58678 Intech Online Private Limited;Asia/Kolkata;;412205;
115.110.173.36;Chennai;Tamil Nadu;IN;13.0878,80.2785;AS4755 TATA Communications formerly VSNL is Leading ISP;Asia/Kolkata;115.110.173.36.static-chennai.vsnl.net.in;600001;
113.193.186.26;Delhi;Delhi;IN;28.6519,77.2315;AS45528 Tikona Infinet Ltd.;Asia/Kolkata;;110001;
122.170.106.162;Mumbai;Maharashtra;IN;19.0728,72.8826;AS24560 Bharti Airtel Ltd., Telemedia Services;Asia/Kolkata;abts-mum-static-162.106.170.122.airtelbroadband.in;400017;
83.110.156.177;Ajman City;Ajman;AE;25.4018,55.4788;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-83-110-156-177.alshamil.net.ae;32998 00675;
88.213.64.46;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS34397 Middle East Internet Company Limited;Asia/Riyadh;leasedline.cyberia.net.sa;;
85.194.108.189;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS29255 Etihad Etisalat, a joint stock company;Asia/Riyadh;static-85-194-108.mobily.com.sa;;
5.192.161.145;Dibba Al-Fujairah;Fujairah;AE;25.5925,56.2618;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;;;
203.212.232.155;Delhi;Delhi;IN;28.6519,77.2315;AS17488 Hathway IP Over Cable Internet;Asia/Kolkata;232.212.203.155.hathway.com;110001;
88.85.242.67;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS29684 Nour Internet Company for Communications and Information Technology Ltd.;Asia/Riyadh;;;
168.149.33.18;Jeddah;Mecca Region;SA;21.4901,39.1862;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
122.160.62.26;Gurugram;Haryana;IN;28.4601,77.0263;AS24560 Bharti Airtel Ltd., Telemedia Services;Asia/Kolkata;abts-north-static-026.62.160.122.airtelbroadband.in;122004;
94.203.252.65;Dubai;Dubai;AE;25.0772,55.3093;AS15802 Emirates Integrated Telecommunications Company PJSC;Asia/Dubai;;28506 74783;
182.74.212.218;Delhi;Delhi;IN;28.6519,77.2315;AS9498 BHARTI Airtel Ltd.;Asia/Kolkata;;110001;
217.165.252.64;Al Jazīrah al Ḩamrā’;Raʼs al Khaymah;AE;25.7091,55.8077;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-217-165-252-64.alshamil.net.ae;33206 01003;
217.165.24.177;Jebel Ali;Dubai;AE;25.0025,55.1081;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-217-165-24-177.alshamil.net.ae;08211 66315;
31.215.149.87;Al Fujairah City;Fujairah;AE;25.1164,56.3414;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;;;
94.204.233.158;Dubai;Dubai;AE;25.0772,55.3093;AS15802 Emirates Integrated Telecommunications Company PJSC;Asia/Dubai;;28506 74783;
217.165.133.116;Bur Dubai;Dubai;AE;25.2604,55.2989;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-217-165-133-116.alshamil.net.ae;27690 94941;
103.82.208.66;Chennai;Tamil Nadu;IN;13.0878,80.2785;AS135780 AirFiber Networks Pvt Ltd;Asia/Kolkata;;600001;
49.249.115.78;Gurugram;Haryana;IN;28.4601,77.0263;AS45820 Tata Teleservices ISP AS;Asia/Kolkata;static-78.115.249.49-tataidc.co.in;122004;
5.163.184.111;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
88.209.128.65;Jeddah;Mecca Region;SA;21.4901,39.1862;AS30815 Detecon Al Saudia Co. Ltd.;Asia/Riyadh;;;
117.254.196.214;Nashik;Maharashtra;IN;19.9973,73.7910;AS9829 National Internet Backbone;Asia/Kolkata;static.ftth.nsk.117.254.196.214.bsnl.in;422221;
130.164.150.3;Dammam;Eastern Province;SA;26.4344,50.1033;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
182.76.99.62;Mumbai;Maharashtra;IN;19.0728,72.8826;AS9498 BHARTI Airtel Ltd.;Asia/Kolkata;nsg-static-62.99.76.182-airtel.com;400017;
94.59.75.228;Abu Dhabi;Abu Dhabi;AE;24.4512,54.3970;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-94-59-75-228.alshamil.net.ae;;
83.110.79.74;Sharjah;Sharjah;AE;25.3374,55.4121;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-83-110-79-74.alshamil.net.ae;37502 99086;
45.127.57.226;Hyderābād;Telangana;IN;17.3840,78.4564;AS150008 Pioneer Elabs Ltd.;Asia/Kolkata;static-45-127-57-226.pol.net.in;500001;
2.50.49.34;Dubai;Dubai;AE;25.0772,55.3093;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-2-50-49-34.alshamil.net.ae;28506 74783;
37.224.104.131;Jeddah;Mecca Region;SA;21.4901,39.1862;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
144.86.34.46;Dammam;Eastern Province;SA;26.4344,50.1033;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
188.48.74.252;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
86.98.30.211;Sharjah;Sharjah;AE;25.3374,55.4121;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-86-98-30-211.alshamil.net.ae;37502 99086;
188.50.165.74;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
82.197.60.109;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS43766 Mobile Telecommunication Company Saudi Arabia Joint-Stock company;Asia/Riyadh;;;
5.163.185.152;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
49.248.151.6;Airoli;Maharashtra;IN;19.1167,72.9833;AS17762 Tata Teleservices Maharashtra Ltd;Asia/Kolkata;static-6.151.248.49-tataidc.co.in;400701;
95.177.174.24;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS201771 ARABIAN INTERNET & COMMUNICATIONS SERVICES CO.LTD;Asia/Riyadh;;;
185.160.68.146;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS35681 Oyoun al Wasool Communications and Information Technology Company;Asia/Riyadh;;;
83.110.149.172;Dubai;Dubai;AE;25.0772,55.3093;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-83-110-149-172.alshamil.net.ae;28506 74783;
83.110.105.5;Khalifah A City;Abu Dhabi;AE;24.4259,54.6050;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-83-110-105-5.alshamil.net.ae;;
203.76.186.162;Khanpur;Gujarat;IN;23.2835,73.6815;AS139560 PATEL INTERNET PRIVATE LIMITED;Asia/Kolkata;;389230;
87.200.229.113;Dubai;Dubai;AE;25.0772,55.3093;AS15802 Emirates Integrated Telecommunications Company PJSC;Asia/Dubai;;28506 74783;
86.98.12.134;Sharjah;Sharjah;AE;25.3374,55.4121;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-86-98-12-134.alshamil.net.ae;37502 99086;
115.112.188.208;Bengaluru;Karnataka;IN;12.9719,77.5937;AS4755 TATA Communications formerly VSNL is Leading ISP;Asia/Kolkata;115.112.188.208.static-idc-hyderabad.vsnl.net.in;562114;
136.232.97.122;Morādābād;Uttar Pradesh;IN;28.8389,78.7768;AS55836 Reliance Jio Infocomm Limited;Asia/Kolkata;;244103;
2.50.29.36;Sharjah;Sharjah;AE;25.3374,55.4121;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-2-50-29-36.alshamil.net.ae;37502 99086;
88.213.64.54;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS34397 Middle East Internet Company Limited;Asia/Riyadh;leasedline.cyberia.net.sa;;
45.248.64.2;Mumbai;Maharashtra;IN;19.0728,72.8826;AS136334 Vortex Netsol Private Limited;Asia/Kolkata;45.248.64.2.cust.vnpl.co.in;400017;
122.180.5.246;Delhi;Delhi;IN;28.6519,77.2315;AS9498 BHARTI Airtel Ltd.;Asia/Kolkata;nsg-corporate-246.5.180.122.airtel.in;110001;
217.165.123.194;Jebel Ali;Dubai;AE;25.0025,55.1081;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-217-165-123-194.alshamil.net.ae;08211 66315;
115.242.182.30;Chennai;Tamil Nadu;IN;13.0878,80.2785;AS55836 Reliance Jio Infocomm Limited;Asia/Kolkata;;600001;
142.154.45.215;Jeddah;Mecca Region;SA;21.4901,39.1862;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
2.50.159.139;Abu Dhabi;Abu Dhabi;AE;24.4512,54.3970;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-2-50-159-139.alshamil.net.ae;;
59.96.58.158;Palakkad;Kerala;IN;10.7732,76.6537;AS9829 National Internet Backbone;Asia/Kolkata;;678001;
37.224.49.42;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
83.110.14.79;Dubai;Dubai;AE;25.0772,55.3093;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-83-110-14-79.alshamil.net.ae;28506 74783;
83.110.85.190;Bur Dubai;Dubai;AE;25.2604,55.2989;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-83-110-85-190.alshamil.net.ae;27690 94941;
78.110.15.122;Jeddah;Mecca Region;SA;21.4901,39.1862;AS50880 SEVEN EYES FOR MARKETING LTD;Asia/Riyadh;;;
91.74.30.141;Dubai;Dubai;AE;25.0772,55.3093;AS15802 Emirates Integrated Telecommunications Company PJSC;Asia/Dubai;;28506 74783;
103.194.89.82;Greater Noida;Uttar Pradesh;IN;28.4962,77.5360;AS134319 Elyzium Technologies Pvt. Ltd.;Asia/Kolkata;;201311;
14.97.23.157;Bhopāl;Madhya Pradesh;IN;23.2547,77.4029;AS45820 Tata Teleservices ISP AS;Asia/Kolkata;;464993;
90.148.130.48;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;90.148.130.48.dynamic.saudi.net.sa;;
2.89.35.99;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
212.11.188.10;Jeddah;Mecca Region;SA;21.4901,39.1862;AS42428 Gulf Computer Services Co Ldt;Asia/Riyadh;a188-010.sps.net.sa;;
93.112.4.47;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
122.186.97.66;Delhi;Delhi;IN;28.6519,77.2315;AS9498 BHARTI Airtel Ltd.;Asia/Kolkata;nsg-corporate-66.97.186.122.airtel.in;110001;
5.163.248.16;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
93.112.33.34;Riyadh;Riyadh Region;SA;24.6877,46.7219;AS25019 Saudi Telecom Company JSC;Asia/Riyadh;;;
86.98.154.72;Jebel Ali;Dubai;AE;25.0025,55.1081;AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC;Asia/Dubai;bba-86-98-154-72.alshamil.net.ae;08211 66315;
